,level_0,Unnamed: 0,index,Symbol,Name,Market Cap,Sector
55,55,55.0,72.0,ACOR,Acorda Therapeutics Inc. Common Stock,17012052.0,Healthcare
56,56,56.0,73.0,ACP,abrdn Income Credit Strategies Fund Common Shares,0.0,Financials
57,57,57.0,75.0,ACR,ACRES Commercial Realty Corp. Common Stock,73699017.0,Real Estate
58,58,58.0,76.0,ACR-PC,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,5918205737.28169,Real Estate
59,59,59.0,77.0,ACR-PD,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,5918205737.281691,Real Estate
60,60,60.0,78.0,ACRE,Ares Commercial Real Estate Corporation Common Stock,570231442.0,Real Estate
61,61,61.0,79.0,ACRS,Aclaris Therapeutics Inc. Common Stock,760510290.0,Healthcare
62,62,62.0,81.0,ACRX,AcelRx Pharmaceuticals Inc. Common Stock,14529311.0,Healthcare
63,63,63.0,82.0,ACT,Enact Holdings Inc. Common Stock,4168785337.0,Financials
64,64,64.0,83.0,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,243575480.0,Industrials
65,65,65.0,84.0,ACU,Acme United Corporation. Common Stock,91692449.0,Consumer Discretionary
66,66,66.0,85.0,ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,206740932.0,Financials
67,67,67.0,86.0,ACVA,ACV Auctions Inc. Class A Common Stock,2696323525.0,Consumer Discretionary
68,68,68.0,87.0,ACXP,Acurx Pharmaceuticals Inc. Common Stock,27662154.0,Healthcare
69,69,69.0,88.0,ADBE,Adobe Inc. Common Stock,227675745000.0,Information Technology
70,70,70.0,89.0,ADC,Agree Realty Corporation Common Stock,6038326928.0,Real Estate
71,71,71.0,91.0,ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,12153900.0,Consumer Discretionary
72,72,72.0,92.0,ADEA,Adeia Inc. Common Stock,1190960266.0,Information Technology
73,73,73.0,93.0,ADER,26 Capital Acquisition Corp. Class A Common Stock,0.0,Financials
74,74,74.0,94.0,ADERU,26 Capital Acquisition Corp. Unit,0.0,Financials
75,75,75.0,96.0,ADES,Advanced Emissions Solutions Inc. Common Stock,46833852.0,Industrials
76,76,76.0,97.0,ADI,Analog Devices Inc. Common Stock,95795966979.0,Information Technology
77,77,77.0,98.0,ADIL,Adial Pharmaceuticals Inc Common Stock,5768901.0,Healthcare
78,78,78.0,99.0,ADM,Archer-Daniels-Midland Company Common Stock,42775618527.0,Consumer Staples
79,79,79.0,100.0,ADMA,ADMA Biologics Inc Common Stock,820187230.0,Healthcare
80,80,80.0,101.0,ADMP,Adamis Pharmaceuticals Corporation Common Stock,379283518.0,Healthcare
81,81,81.0,102.0,ADN,Advent Technologies Holdings Inc. Class A Common Stock,40693844.0,Utilities
82,82,82.0,103.0,ADNT,Adient plc Ordinary Shares ,3827842431.0,Consumer Discretionary
83,83,83.0,105.0,ADOC,Edoc Acquisition Corp. Class A Ordinary Share,0.0,Industrials
84,84,84.0,108.0,ADP,Automatic Data Processing Inc. Common Stock,92922476809.0,Information Technology
85,85,85.0,109.0,ADPT,Adaptive Biotechnologies Corporation Common Stock,943793940.0,Healthcare
86,86,86.0,110.0,ADSK,Autodesk Inc. Common Stock,44311898451.0,Information Technology
87,87,87.0,111.0,ADT,ADT Inc. Common Stock,5842840950.0,Consumer Discretionary
88,88,88.0,112.0,ADTH,AdTheorent Holding Company Inc. Common Stock,124690659.0,Consumer Discretionary
89,89,89.0,114.0,ADTN,ADTRAN Holdings Inc. Common Stock,820375123.0,Utilities
90,90,90.0,115.0,ADTX,Aditxt Inc. Common Stock,2950768.0,Healthcare
91,91,91.0,116.0,ADUS,Addus HomeCare Corporation Common Stock,1417717794.0,Healthcare
92,92,92.0,117.0,ADV,Advantage Solutions Inc. Class A Common Stock,765008151.0,Consumer Discretionary
93,93,93.0,118.0,ADVM,Adverum Biotechnologies Inc. Common Stock,189080904.0,Healthcare
94,94,94.0,120.0,ADX,Adams Diversified Equity Fund Inc.,0.0,Financials
95,95,95.0,121.0,AE,Adams Resources & Energy Inc. Common Stock,86179290.0,Energy
96,96,96.0,122.0,AEAE,AltEnergy Acquisition Corp. Class A Common Stock,0.0,Financials
97,97,97.0,124.0,AEE,Ameren Corporation Common Stock,21560237651.0,Utilities
98,98,98.0,125.0,AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,547548750.0,Financials
99,99,99.0,126.0,AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,0.0,Financials
100,100,100.0,127.0,AEHR,Aehr Test Systems Common Stock,1127293954.0,Industrials
101,101,101.0,128.0,AEI,Alset Inc. Common Stock (TX),15607351.0,Real Estate
102,102,102.0,129.0,AEIS,Advanced Energy Industries Inc. Common Stock,4120454526.0,Utilities
103,103,103.0,130.0,AEL,American Equity Investment Life Holding Company Common Stock,4123871908.0,Financials
104,104,104.0,131.0,AEL-PA,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,7836140598.904445,Financials
105,105,105.0,132.0,AEL-PB,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,7836140598.904444,Financials
106,106,106.0,133.0,AEMD,Aethlon Medical Inc. Common Stock,9743598.0,Healthcare
107,107,107.0,134.0,AENT,Alliance Entertainment Holding Corporation Class A Common Stock,263092880.0,Consumer Discretionary
108,108,108.0,136.0,AEO,American Eagle Outfitters Inc. Common Stock,2363494048.0,Consumer Discretionary
109,109,109.0,137.0,AEP,American Electric Power Company Inc. Common Stock,43417465349.0,Utilities
110,110,110.0,138.0,AEPPZ,American Electric Power Company Inc. Corporate Units,28106319285.0,Utilities
111,111,111.0,139.0,AES,The AES Corporation Common Stock,14069436750.0,Utilities
112,112,112.0,140.0,AESC,The AES Corporation Corporate Units,55253663356.0,Utilities
113,113,113.0,141.0,AEY,ADDvantage Technologies Group Inc. Common Stock,9362340.0,Industrials
114,114,114.0,142.0,AEYE,AudioEye Inc. Common Stock,57375060.0,Information Technology
115,115,115.0,143.0,AFB,AllianceBernstein National Municipal Income Fund Inc,0.0,Financials
116,116,116.0,144.0,AFBI,Affinity Bancshares Inc. Common Stock (MD),78485951.0,Financials
117,117,117.0,145.0,AFCG,AFC Gamma Inc. Common Stock,259388902.0,Real Estate
118,118,118.0,146.0,AFG,American Financial Group Inc. Common Stock,10025647277.0,Financials
119,119,119.0,147.0,AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,2094568110.0,Financials
120,120,120.0,148.0,AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,1790476684.0,Financials
121,121,121.0,149.0,AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,1941244702.0,Financials
122,122,122.0,150.0,AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,1537493062.0,Financials
123,123,123.0,151.0,AFIB,Acutus Medical Inc. Common Stock,25643474.0,Healthcare
124,124,124.0,152.0,AFL,AFLAC Incorporated Common Stock,42036072042.0,Financials
125,125,125.0,153.0,AFRM,Affirm Holdings Inc. Class A Common Stock,4370232089.0,Consumer Discretionary
126,126,126.0,154.0,AGAE,Allied Gaming & Entertainment Inc. Common Stock,36653897.0,Communication Services
127,127,127.0,155.0,AGCO,AGCO Corporation Common Stock,9874584023.0,Industrials
128,128,128.0,156.0,AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,0.0,Financials
129,129,129.0,157.0,AGEN,Agenus Inc. Common Stock,634954245.0,Healthcare
130,130,130.0,158.0,AGFY,Agrify Corporation Common Stock,25741450.0,Consumer Discretionary
131,131,131.0,159.0,AGIL,AgileThought Inc. Class A Common Stock,39032638.0,Information Technology
132,132,132.0,161.0,AGIO,Agios Pharmaceuticals Inc. Common Stock,1490121007.0,Healthcare
133,133,133.0,162.0,AGL,agilon health inc. Common Stock,7164166065.0,Healthcare
134,134,134.0,163.0,AGLE,Aeglea BioTherapeutics Inc. Common Stock,32370604.0,Healthcare
135,135,135.0,164.0,AGM,Federal Agricultural Mortgage Corporation Common Stock,1534302552.0,Financials
136,136,136.0,165.0,AGM-PC,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,695436544.0,Financials
137,137,137.0,166.0,AGM-PD,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,681569088.0,Financials
138,138,138.0,167.0,AGM-PE,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,7836140598.904444,Financials
139,139,139.0,168.0,AGM-PF,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,7836140598.904446,Financials
140,140,140.0,169.0,AGM-PG,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,7836140598.904444,Financials
141,141,141.0,170.0,AGNC,AGNC Investment Corp. Common Stock,5939248640.0,Real Estate
142,142,142.0,172.0,AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,13433305600.0,Real Estate
143,143,143.0,173.0,AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,15166827520.0,Real Estate
144,144,144.0,174.0,AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,13719247360.0,Real Estate
145,145,145.0,175.0,AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,12593351680.0,Real Estate
146,146,146.0,176.0,AGR,Avangrid Inc. Common Stock,14089195052.0,Utilities
147,147,147.0,177.0,AGRX,Agile Therapeutics Inc. Common Stock,3144941.0,Healthcare
148,148,148.0,178.0,AGS,PlayAGS Inc. Common Stock,219917881.0,Consumer Discretionary
149,149,149.0,179.0,AGTI,Agiliti Inc. Common Stock,2218594026.0,Healthcare
150,150,150.0,180.0,AGX,Argan Inc. Common Stock,533341352.0,Consumer Discretionary
151,151,151.0,181.0,AGYS,Agilysys Inc. Common Stock (DE),1744897069.0,Information Technology
152,152,152.0,182.0,AHCO,AdaptHealth Corp. Common Stock,1689231045.0,Healthcare
153,153,153.0,183.0,AHH,Armada Hoffler Properties Inc. Common Stock,824097559.0,Financials
154,154,154.0,184.0,AHH-PA,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,1012385920.0,Financials
155,155,155.0,185.0,AHT,Ashford Hospitality Trust Inc Common Stock,133084895.0,Real Estate
156,156,156.0,186.0,AHT-PD,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,247849008.0,Real Estate
157,157,157.0,187.0,AHT-PF,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,252825200.0,Real Estate
158,158,158.0,188.0,AHT-PG,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,264654800.0,Real Estate
159,159,159.0,189.0,AHT-PH,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,251843456.0,Real Estate
160,160,160.0,190.0,AHT-PI,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,249244032.0,Real Estate
161,161,161.0,191.0,AI,C3.ai Inc. Class A Common Stock,4578156739.0,Information Technology
162,162,162.0,194.0,AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,690293280.0,Real Estate
163,163,163.0,195.0,AIG,American International Group Inc. New Common Stock,42035545897.0,Financials
164,164,164.0,196.0,AIG-PA,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,42930659328.0,Financials
165,165,165.0,197.0,AIM,AIM ImmunoTech Inc. Common Stock,31959156.0,Healthcare
166,166,166.0,200.0,AIMD,Ainos Inc. Common Stock,14028654.0,Healthcare
167,167,167.0,201.0,AIN,Albany International Corporation Common Stock,2829840000.0,Consumer Discretionary
168,168,168.0,202.0,AINC,Ashford Inc. (Holding Company) Common Stock,31088627.0,Consumer Discretionary
169,169,169.0,203.0,AIP,Arteris Inc. Common Stock,249703905.0,Information Technology
170,170,170.0,204.0,AIR,AAR Corp. Common Stock,2009766975.0,Industrials
171,171,171.0,205.0,AIRC,Apartment Income REIT Corp. Common Stock,5515277611.0,Real Estate
172,172,172.0,206.0,AIRG,Airgain Inc. Common Stock,53597780.0,Information Technology
173,173,173.0,207.0,AIRI,Air Industries Group Common Stock,11114441.0,Industrials
174,174,174.0,208.0,AIRS,AirSculpt Technologies Inc. Common Stock,476993731.0,Healthcare
175,175,175.0,209.0,AIRT,Air T Inc. Common Stock,68034166.0,Consumer Discretionary
176,176,176.0,210.0,AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,59635809.0,Consumer Discretionary
177,177,177.0,211.0,AIT,Applied Industrial Technologies Inc. Common Stock,5655871424.0,Industrials
178,178,178.0,212.0,AIV,Apartment Investment and Management Company Common Stock,1251348547.0,Real Estate
179,179,179.0,213.0,AIZ,Assurant Inc. Common Stock,6699223001.0,Financials
180,180,180.0,214.0,AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,1010942728.0,Financials
181,181,181.0,215.0,AJG,Arthur J. Gallagher & Co. Common Stock,46189295140.0,Financials
182,182,182.0,216.0,AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,4429625171.0,Industrials
183,183,183.0,217.0,AJX,Great Ajax Corp. Common Stock,161717751.0,Real Estate
184,184,184.0,218.0,AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,577059706.0,Real Estate
185,185,185.0,219.0,AKAM,Akamai Technologies Inc. Common Stock,13824518105.0,Consumer Discretionary
186,186,186.0,220.0,AKBA,Akebia Therapeutics Inc. Common Stock,224973026.0,Healthcare
187,187,187.0,221.0,AKLI,Akili Inc. Common Stock,92224632.0,Information Technology
188,188,188.0,222.0,AKR,Acadia Realty Trust Common Stock,1397716931.0,Real Estate
189,189,189.0,223.0,AKRO,Akero Therapeutics Inc. Common Stock,2253413140.0,Healthcare
190,190,190.0,224.0,AKTS,Akoustis Technologies Inc. Common Stock,204890826.0,Utilities
191,191,191.0,225.0,AKU,Akumin Inc. Common Stock (DE),14751254.0,Healthcare
192,192,192.0,226.0,AKYA,Akoya BioSciences Inc. Common Stock,273831693.0,Industrials
193,193,193.0,227.0,AL,Air Lease Corporation Class A Common Stock,4658206939.0,Consumer Discretionary
194,194,194.0,228.0,AL-PA,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,3909079808.0,Consumer Discretionary
195,195,195.0,229.0,ALB,Albemarle Corporation Common Stock,28144318738.0,Industrials
196,196,196.0,230.0,ALBT,Avalon GloboCare Corp. Common Stock,14026744.0,Healthcare
197,197,197.0,231.0,ALCO,Alico Inc. Common Stock,191498659.0,Consumer Staples
198,198,198.0,235.0,ALDX,Aldeyra Therapeutics Inc. Common Stock,466267746.0,Healthcare
199,199,199.0,236.0,ALE,Allete Inc.,3234923788.0,Utilities
200,200,200.0,237.0,ALEC,Alector Inc. Common Stock,533451379.0,Healthcare
201,201,201.0,238.0,ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,1350970116.0,Real Estate
202,202,202.0,239.0,ALG,Alamo Group Inc. Common Stock,2210350442.0,Industrials
203,203,203.0,240.0,ALGM,Allegro MicroSystems Inc. Common Stock,8790139321.0,Information Technology
204,204,204.0,241.0,ALGN,Align Technology Inc. Common Stock,26298876059.0,Healthcare
205,205,205.0,242.0,ALGS,Aligos Therapeutics Inc. Common Stock,39981517.0,Healthcare
206,206,206.0,243.0,ALGT,Allegiant Travel Company Common Stock,2338824898.0,Consumer Discretionary
207,207,207.0,244.0,ALHC,Alignment Healthcare Inc. Common Stock,1049284933.0,Healthcare
208,208,208.0,245.0,ALIM,Alimera Sciences Inc. Common Stock,24065685.0,Healthcare
209,209,209.0,246.0,ALIT,Alight Inc. Class A Common Stock,5264944846.0,Information Technology
210,210,210.0,247.0,ALK,Alaska Air Group Inc. Common Stock,7105453661.0,Consumer Discretionary
211,211,211.0,248.0,ALKT,Alkami Technology Inc. Common Stock,1481192619.0,Information Technology
212,212,212.0,249.0,ALL,Allstate Corporation (The) Common Stock,28059441926.0,Financials
213,213,213.0,250.0,ALL-PB,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,32428115968.0,Financials
214,214,214.0,251.0,ALL-PH,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,34164000768.0,Financials
215,215,215.0,252.0,ALL-PI,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,7836140598.904445,Financials
216,216,216.0,254.0,ALLE,Allegion plc Ordinary Shares,10426957788.0,Consumer Discretionary
217,217,217.0,255.0,ALLK,Allakos Inc. Common Stock,411161496.0,Healthcare
218,218,218.0,256.0,ALLO,Allogene Therapeutics Inc. Common Stock,869216055.0,Healthcare
219,219,219.0,257.0,ALLR,Allarity Therapeutics Inc. Common Stock,1712124.0,Healthcare
220,220,220.0,258.0,ALLY,Ally Financial Inc. Common Stock,8089066391.0,Financials
221,221,221.0,259.0,ALNY,Alnylam Pharmaceuticals Inc. Common Stock,24881487510.0,Healthcare
222,222,222.0,262.0,ALOT,AstroNova Inc. Common Stock,103106239.0,Information Technology
223,223,223.0,263.0,ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock,0.0,Healthcare
224,224,224.0,264.0,ALPAU,Alpha Healthcare Acquisition Corp. III Units,0.0,Healthcare
225,225,225.0,266.0,ALPN,Alpine Immune Sciences Inc. Common Stock,514193751.0,Healthcare
226,226,226.0,267.0,ALPP,Alpine 4 Holdings Inc. Class A Common Stock,59431830.0,Communication Services
227,227,227.0,269.0,ALRM,Alarm.com Holdings Inc. Common Stock,2621552966.0,Information Technology
228,228,228.0,270.0,ALRN,Aileron Therapeutics Inc. Common Stock,8900687.0,Healthcare
229,229,229.0,271.0,ALRS,Alerus Financial Corporation Common Stock,353777807.0,Financials
230,230,230.0,275.0,ALSN,Allison Transmission Holdings Inc. Common Stock,5221106774.0,Consumer Discretionary
231,231,231.0,276.0,ALT,Altimmune Inc. Common Stock,169565130.0,Healthcare
232,232,232.0,277.0,ALTG,Alta Equipment Group Inc. Class A Common Stock,546373731.0,Industrials
233,233,233.0,278.0,ALTG-PA,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),8849177651.241758,Industrials
234,234,234.0,279.0,ALTI,AlTi Global Inc. Class A Common Stock,903097507.0,Financials
235,235,235.0,280.0,ALTO,Alto Ingredients Inc. Common Stock,266369915.0,Industrials
236,236,236.0,281.0,ALTR,Altair Engineering Inc. Class A Common Stock,5947431325.0,Information Technology
237,237,237.0,282.0,ALTU,Altitude Acquisition Corp. Class A Common Stock,0.0,Financials
238,238,238.0,283.0,ALTUU,Altitude Acquisition Corp. Unit,0.0,Financials
239,239,239.0,284.0,ALTUW,Altitude Acquisition Corp. Warrant,0.0,Financials
240,240,240.0,285.0,ALVR,AlloVir Inc. Common Stock,305096922.0,Healthcare
241,241,241.0,286.0,ALX,Alexander's Inc. Common Stock,924317344.0,Real Estate
242,242,242.0,287.0,ALXO,ALX Oncology Holdings Inc. Common Stock,272188439.0,Healthcare
243,243,243.0,288.0,ALZN,Alzamend Neuro Inc. Common Stock,48702263.0,Healthcare
244,244,244.0,289.0,AM,Antero Midstream Corporation Common Stock,5520842735.0,Utilities
245,245,245.0,290.0,AMAL,Amalgamated Financial Corp. Common Stock (DE),499279225.0,Financials
246,246,246.0,291.0,AMAM,Ambrx Biopharma Inc. American Depositary Shares,804140515.0,Healthcare
247,247,247.0,292.0,AMAO,American Acquisition Opportunity Inc. Class A Common Stock,0.0,Financials
248,248,248.0,294.0,AMAT,Applied Materials Inc. Common Stock,118034896652.0,Information Technology
249,249,249.0,295.0,AMBA,Ambarella Inc. Ordinary Shares,3244231639.0,Information Technology
250,250,250.0,296.0,AMBC,Ambac Financial Group Inc. Common Stock,644023773.0,Financials
251,251,251.0,297.0,AMCX,AMC Networks Inc. Class A Common Stock,554241814.0,Communication Services
252,252,252.0,298.0,AMD,Advanced Micro Devices Inc. Common Stock,182904901195.0,Information Technology
253,253,253.0,299.0,AME,AMETEK Inc.,36304450984.0,Industrials
254,254,254.0,300.0,AMED,Amedisys Inc Common Stock,2960625151.0,Healthcare
255,255,255.0,301.0,AMEH,Apollo Medical Holdings Inc. Common Stock,1844388241.0,Consumer Discretionary
256,256,256.0,302.0,AMG,Affiliated Managers Group Inc. Common Stock,5490374823.0,Financials
257,257,257.0,303.0,AMGN,Amgen Inc. Common Stock,120079215470.0,Healthcare
258,258,258.0,304.0,AMH,American Homes 4 Rent Common Shares of Beneficial Interest,13002422330.0,Real Estate
259,259,259.0,305.0,AMH-PG,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,7858114048.0,Real Estate
260,260,260.0,306.0,AMH-PH,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,8095556096.0,Real Estate
261,261,261.0,307.0,AMK,AssetMark Financial Holdings Inc. Common Stock,2169675622.0,Financials
262,262,262.0,308.0,AMKR,Amkor Technology Inc. Common Stock,6855832104.0,Information Technology
263,263,263.0,310.0,AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,4404195488.0,Consumer Discretionary
264,264,264.0,311.0,AMNB,American National Bankshares Inc. Common Stock,304101381.0,Financials
265,265,265.0,312.0,AMOT,Allied Motion Technologies Inc.,595038951.0,Industrials
266,266,266.0,314.0,AMPE,Ampio Pharmaceuticals Inc.,3679061.0,Healthcare
267,267,267.0,316.0,AMPGW,Amplitech Group Inc. Warrants,4047587.0,Communication Services
268,268,268.0,317.0,AMPH,Amphastar Pharmaceuticals Inc. Common Stock,2748723951.0,Healthcare
